Title,Location,Price,Area,Rooms
Apartment Prinsengracht,             1016 HT Amsterdam (Grachtengordel-West)         ,"                 €2,950 per month             ",110 m²,4 rooms
Apartment Zeeburgerdijk,             1094 AJ Amsterdam (Indische Buurt West)         ,"                 €4,500 per month             ",220 m²,5 rooms
Apartment Waalstraat,             1079 DW Amsterdam (Rijnbuurt)         ,"                 €1,850 per month             ",65 m²,3 rooms
Apartment Roompotstraat 6 1,             1078 KV Amsterdam (Scheldebuurt)         ,"                 €2,000 per month             ",75 m²,3 rooms
Apartment Stadionkade 6 2,             1077 VG Amsterdam (Apollobuurt)         ,"                 €2,750 per month             ",120 m²,4 rooms
Apartment Keizersgracht,             1015 CJ Amsterdam (Grachtengordel-West)         ,"                 €4,250 per month             ",160 m²,4 rooms
Apartment Oosterpark,             1092 AR Amsterdam (Oosterparkbuurt)         ,"                 €3,600 per month             ",75 m²,3 rooms
Apartment Jan Wolkerslaan,             1112 ZH Diemen (Holland Park)         ,"                 €1,200 per month             ",46 m²,2 rooms
Apartment Jan Wolkerslaan,             1112 ZH Diemen (Holland Park)         ,"                 €2,210 per month             ",120 m²,4 rooms
Apartment Zeeburgerdijk,             1094 AJ Amsterdam (Indische Buurt West)         ,"                 €4,500 per month             ",220 m²,4 rooms
Apartment Bezaanjachtplein,             1034 DA Amsterdam (Banne Buiksloot)         ,"                 €1,450 per month             ",33 m²,1 room
Apartment Hoofdweg,             1057 DK Amsterdam (Hoofdweg e.o.)         ,"                 €1,400 per month             ",57 m²,3 rooms
Apartment Reestraat 11 1,             1016 DM Amsterdam (Grachtengordel-West)         ,"                 €1,350 per month             ",30 m²,2 rooms
Apartment Jan Wolkerslaan,             1112 ZH Diemen (Holland Park)         ,"                 €1,580 per month             ",72 m²,4 rooms
Apartment Nassaukade 340 L,             1053 LW Amsterdam (Van Lennepbuurt)         ,"                 €1,600 per month             ",45 m²,2 rooms
Apartment 1e Kekerstraat 159,"             1104 VA Amsterdam (Bijlmer Oost (E,G,K))         ","                 €1,650 per month             ",118 m²,3 rooms
Apartment Bachstraat 21 I,             1077 GE Amsterdam (Apollobuurt)         ,"                 €3,250 per month             ",180 m²,5 rooms
Apartment Termini 165,             1025 XM Amsterdam (Buikslotermeer)         ,"                 €1,295 per month             ",55 m²,2 rooms
Apartment Mr. G. Groen van Prinstererlaan,             1181 TT Amstelveen (Stadshart)         ,"                 €2,400 per month             ",69 m²,5 rooms
Apartment Jacob van Lennepstraat 76 4,             1053 HM Amsterdam (Van Lennepbuurt)         ,"                 €1,890 per month             ",80 m²,3 rooms
Apartment Jasper Leijnsenstraat 3 hs,             1056 XT Amsterdam (Landlust)         ,"                 €1,600 per month             ",53 m²,3 rooms
Apartment Nassaukade 126 2,             1052 ED Amsterdam (Frederik Hendrikbuurt)         ,"                 €2,100 per month             ",75 m²,3 rooms
Apartment Eerste Amstelvlietpad,             1096 GB Amsterdam (Omval/Overamstel)         ,"                 €2,400 per month             ",100 m²,2 rooms
Apartment Frans Halsstraat,             1072 BP Amsterdam (Oude Pijp)         ,"                 €1,950 per month             ",65 m²,3 rooms
Apartment Overtoom,             1054 LH Amsterdam (Overtoomse Sluis)         ,"                 €2,250 per month             ",80 m²,3 rooms
Apartment Mr. G. Groen van Prinstererlaan,             1181 TW Amstelveen (Stadshart)         ,"                 €1,800 per month             ",68 m²,1 room
Apartment Barentszstraat 230,             1013 NT Amsterdam (Spaarndammer- en Zeeheldenbuurt)         ,"                 €1,750 per month             ",61 m²,2 rooms
Apartment Frans van Mierisstraat,             1071 RR Amsterdam (Museumkwartier)         ,"                 €2,750 per month             ",80 m²,3 rooms
Apartment Eerste Kostverlorenkade 12,             1052 EM Amsterdam (Frederik Hendrikbuurt)         ,"                 €1,170 per month             ",35 m²,1 room
Apartment Brouwersgracht 163 III,             1015 GH Amsterdam (Jordaan)         ,"                 €2,850 per month             ",126 m²,3 rooms
